Scaffold,start,end,dir,feature,CGI_ID,type,ID,Description
scaffold39040,587,10567,-1,gene,CGI_10003144,transcript,EKC21896,C-type lectin domain family 10 member A 
scaffold39040,38002,64552,-1,gene,CGI_10003145,transcript,EKC21897,WD repeat-containing protein C10orf79 
scaffold348,113,793,1,gene,CGI_10022967,transcript,EKC38298,Amidase 
scaffold348,3467,4042,1,gene,CGI_10022968,transcript,EKC38299,Ankyrin repeat domain-containing protein 1 
scaffold348,4307,4717,1,gene,CGI_10022969,transcript,EKC38300,
scaffold348,46971,56603,1,gene,CGI_10022970,transcript,EKC38301,
scaffold348,129346,131334,1,gene,CGI_10022971,transcript,EKC38302,IMPACT-like protein 
scaffold348,160739,182763,1,gene,CGI_10022972,transcript,EKC38303,Putative ATP-dependent RNA helicase DDX58 
scaffold348,191643,203885,1,gene,CGI_10022973,transcript,EKC38304,Interferon-induced helicase C domain-containing protein 1 
scaffold348,204032,218386,1,gene,CGI_10022974,transcript,EKC38305,Collagen-like protein 2 
scaffold348,223886,238921,1,gene,CGI_10022976,transcript,EKC38306,
scaffold348,256894,257605,1,gene,CGI_10022977,transcript,EKC38307,
scaffold348,282578,285067,-1,gene,CGI_10022978,transcript,EKC38308,Early growth response protein 3 
scaffold348,331743,337541,1,gene,CGI_10022979,transcript,EKC38309,Synaptobrevin-like protein YKT6 
scaffold348,339377,346452,1,gene,CGI_10022980,transcript,EKC38310,
scaffold348,361877,368349,1,gene,CGI_10022981,transcript,EKC38311,Protein FAM53A 
scaffold348,375998,398099,-1,gene,CGI_10022982,transcript,EKC38312,Leucine-rich repeat and calponin-like protein domain-containing protein 3 
scaffold348,399852,400901,1,gene,CGI_10022983,transcript,EKC38313,WD repeat-containing protein 53 
scaffold348,435581,443312,-1,gene,CGI_10022984,transcript,EKC38314,Myotubularin-related protein 9 
scaffold348,446425,464513,1,gene,CGI_10022985,transcript,EKC38315,
scaffold348,474859,475140,1,gene,CGI_10022986,transcript,EKC38316,
scaffold348,483835,485649,1,gene,CGI_10022987,transcript,EKC38317,
scaffold348,486283,486471,-1,gene,CGI_10022988,transcript,EKC38318,
scaffold348,530846,540976,-1,gene,CGI_10022989,transcript,EKC38319,Receptor-type tyrosine-protein phosphatase F 
scaffold348,551371,588320,-1,gene,CGI_10022990,transcript,EKC38320,Transporter 
scaffold348,616458,620140,1,gene,CGI_10022991,transcript,EKC38321,
scaffold348,623576,625447,1,gene,CGI_10022992,transcript,EKC38322,
scaffold348,632029,644830,-1,gene,CGI_10022993,transcript,EKC38323,Retinol dehydrogenase 12 
scaffold348,646237,653477,1,gene,CGI_10022994,transcript,EKC38324,Cleavage stimulation factor 50 kDa subunit 
scaffold348,657830,662797,-1,gene,CGI_10022995,transcript,EKC38325,Cyclin-Y-like protein 1 
scaffold348,665349,683872,-1,gene,CGI_10022996,transcript,EKC38326,Muscle M-line assembly protein unc-89 
scaffold348,684421,700265,-1,gene,CGI_10022997,transcript,EKC38327,
scaffold348,700339,704575,-1,gene,CGI_10022998,transcript,EKC38328,Titin 
scaffold348,704794,707929,-1,gene,CGI_10022999,transcript,EKC38329,Titin 
scaffold348,714029,714250,-1,gene,CGI_10023000,transcript,EKC38330,
scaffold348,715076,738533,-1,gene,CGI_10023001,transcript,EKC38331,Triple functional domain protein 
scaffold348,744300,745549,-1,gene,CGI_10023002,transcript,EKC38332,"Myosin light chain kinase, smooth muscle "
scaffold348,760956,765791,-1,gene,CGI_10023003,transcript,EKC38333,Homeobox protein CDX-1 
scaffold348,784953,786365,-1,gene,CGI_10023005,transcript,EKC38334,Ankyrin repeat domain-containing protein 50 
scaffold348,793064,793609,-1,gene,CGI_10023006,transcript,EKC38335,Ankyrin repeat domain-containing protein 50 
scaffold43520,2110,21519,-1,gene,CGI_10010711,transcript,EKC18875,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3 "
